Thread ID: 2148237740
Total: 9.354427

 %self     total     self     wait    child    calls  name
 10.66      1.00     1.00     0.00     0.00   751700  String#[]
 10.31      1.16     0.96     0.00     0.19   751700  Hash#[]
  4.27      0.40     0.40     0.00     0.00   385250  String#size
  4.13      0.39     0.39     0.00     0.00   385250  Fixnum#==
  2.60      0.24     0.24     0.00     0.00   191727  Hash#[]=
  2.06      0.19     0.19     0.00     0.00   182327  Hash#default
  1.78      3.07     0.17     0.00     2.90     8193  Dictionary#add(d29)
  1.76      3.52     0.16     0.00     3.36     8698  Dictionary#add(d27)
  1.69      6.72     0.16     0.00     6.57     9400  Dictionary#add(d13)
  1.68      4.21     0.16     0.00     4.05     9199  Dictionary#add(d24)
  1.59      4.44     0.15     0.00     4.29     9295  Dictionary#add(d23)
  1.58      4.67     0.15     0.00     4.52     9340  Dictionary#add(d22)
  1.57      5.12     0.15     0.00     4.98     9382  Dictionary#add(d20)
  1.57      4.90     0.15     0.00     4.75     9363  Dictionary#add(d21)
  1.57      5.35     0.15     0.00     5.20     9390  Dictionary#add(d19)
  1.56      5.57     0.15     0.00     5.43     9394  Dictionary#add(d18)
  1.56      5.84     0.15     0.00     5.70     9397  Dictionary#add(d17)
  1.55      3.97     0.14     0.00     3.83     9050  Dictionary#add(d25)
  1.55      6.06     0.14     0.00     5.92     9398  Dictionary#add(d16)
  1.53      3.75     0.14     0.00     3.60     8896  Dictionary#add(d26)
  1.53      6.28     0.14     0.00     6.14     9399  Dictionary#add(d15)
  1.52      6.49     0.14     0.00     6.35     9400  Dictionary#add(d14)
  1.49      6.93     0.14     0.00     6.79     9400  Dictionary#add(d12)
  1.49      1.45     0.14     0.00     1.31     4996  Dictionary#add(d38)
  1.48      7.14     0.14     0.00     7.00     9400  Dictionary#add(d11)
  1.48      7.55     0.14     0.00     7.41     9400  Dictionary#add(d9)
  1.47      7.34     0.14     0.00     7.20     9400  Dictionary#add(d10)
  1.47      3.28     0.14     0.00     3.14     8458  Dictionary#add(d28)
  1.45      7.75     0.14     0.00     7.61     9400  Dictionary#add(d8)
  1.45      7.94     0.14     0.00     7.81     9400  Dictionary#add(d7)
  1.44      8.54     0.13     0.00     8.40     9400  Dictionary#add(d4)
  1.44      8.14     0.13     0.00     8.01     9400  Dictionary#add(d6)
  1.43      8.34     0.13     0.00     8.20     9400  Dictionary#add(d5)
  1.43      8.73     0.13     0.00     8.60     9400  Dictionary#add(d3)
  1.42      9.32     0.13     0.00     9.19     9400  Dictionary#add
  1.42      8.93     0.13     0.00     8.80     9400  Dictionary#add(d2)
  1.42      9.12     0.13     0.00     8.99     9400  Dictionary#add(d1)
  1.38      2.83     0.13     0.00     2.70     7869  Dictionary#add(d30)
  1.33      2.63     0.12     0.00     2.51     7614  Dictionary#add(d31)
  1.27      2.44     0.12     0.00     2.32     7300  Dictionary#add(d32)
  1.21      2.25     0.11     0.00     2.14     6913  Dictionary#add(d33)
  1.15      2.05     0.11     0.00     1.94     6535  Dictionary#add(d34)
  1.08      1.88     0.10     0.00     1.78     6169  Dictionary#add(d35)
  1.01      1.73     0.09     0.00     1.63     5768  Dictionary#add(d36)
  0.94      1.58     0.09     0.00     1.49     5356  Dictionary#add(d37)
  0.82      1.26     0.08     0.00     1.19     4649  Dictionary#add(d39)
  0.77      1.14     0.07     0.00     1.07     4328  Dictionary#add(d40)
  0.70      1.03     0.07     0.00     0.97     4019  Dictionary#add(d41)
  0.64      0.93     0.06     0.00     0.87     3634  Dictionary#add(d42)
  0.59      0.84     0.05     0.00     0.79     3279  Dictionary#add(d43)
  0.54      0.76     0.05     0.00     0.71     2976  Dictionary#add(d44)
  0.49      0.68     0.05     0.00     0.64     2744  Dictionary#add(d45)
  0.44      0.61     0.04     0.00     0.57     2446  Dictionary#add(d46)
  0.39      0.55     0.04     0.00     0.51     2162  Dictionary#add(d47)
  0.38      9.35     0.04     0.00     9.32        1  IO#each
  0.35      0.49     0.03     0.00     0.46     1948  Dictionary#add(d48)
  0.32      0.44     0.03     0.00     0.41     1751  Dictionary#add(d49)
  0.29      0.40     0.03     0.00     0.37     1580  Dictionary#add(d50)
  0.25      0.36     0.02     0.00     0.34     1403  Dictionary#add(d51)
  0.23      0.32     0.02     0.00     0.30     1230  Dictionary#add(d52)
  0.21      0.29     0.02     0.00     0.27     1121  Dictionary#add(d53)
  0.19      0.26     0.02     0.00     0.24     1018  Dictionary#add(d54)
  0.16      0.23     0.02     0.00     0.22      884  Dictionary#add(d55)
  0.15      0.21     0.01     0.00     0.20      791  Dictionary#add(d56)
  0.13      0.19     0.01     0.00     0.18      706  Dictionary#add(d57)
  0.12      0.17     0.01     0.00     0.16      626  Dictionary#add(d58)
  0.11      0.15     0.01     0.00     0.14      564  Dictionary#add(d59)
  0.10      0.14     0.01     0.00     0.13      518  Dictionary#add(d60)
  0.09      0.12     0.01     0.00     0.12      459  Dictionary#add(d61)
  0.08      0.11     0.01     0.00     0.10      416  Dictionary#add(d62)
  0.07      0.10     0.01     0.00     0.09      378  Dictionary#add(d63)
  0.07      0.09     0.01     0.00     0.08      337  Dictionary#add(d64)
  0.06      0.08     0.01     0.00     0.08      299  Dictionary#add(d65)
  0.05      0.07     0.01     0.00     0.07      273  Dictionary#add(d66)
  0.05      0.07     0.00     0.00     0.06      248  Dictionary#add(d67)
  0.04      0.06     0.00     0.00     0.06      217  Dictionary#add(d68)
  0.04      0.05     0.00     0.00     0.05      199  Dictionary#add(d69)
